ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11064107,JA402505,8/23/17 2:30,003XX N CICERO AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1532,15,28,25,6,1144327,1901462,2017,8/30/17 15:57,41.88563049,-87.74546215,"(41.88563049, -87.745462151)"
11064118,JA402515,8/23/17 4:30,006XX N LA SALLE DR,910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,FALSE,FALSE,1832,18,42,8,7,1175023,1904549,2017,8/30/17 15:57,41.89346903,-87.63264823,"(41.893469034, -87.632648229)"
11064305,JA402630,8/23/17 7:15,0000X E 75TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,FALSE,FALSE,623,6,6,69,7,1178127,1855305,2017,8/30/17 15:57,41.75826944,-87.62274431,"(41.758269438, -87.622744312)"
11064439,JA402631,8/23/17 8:05,004XX E 103RD ST,031A,ROBBERY,ARMED: HANDGUN,GAS STATION,FALSE,FALSE,511,5,9,49,3,1181186,1836771,2017,8/30/17 15:57,41.70734006,-87.61210264,"(41.707340063, -87.612102642)"
11064440,JA402705,8/23/17 9:25,040XX W ROOSEVELT RD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1132,11,24,29,7,1149452,1894398,2017,8/30/17 15:57,41.86614819,-87.72682527,"(41.866148185, -87.726825268)"
11064817,JA403191,8/23/17 16:10,018XX E 87TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,412,4,8,45,7,1189890,1847653,2017,8/30/17 15:57,41.73699694,-87.57988016,"(41.736996935, -87.579880164)"
11064860,JA403292,8/23/17 13:30,001XX W KINZIE ST,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1831,18,42,8,6,1175310,1902997,2017,8/30/17 15:57,41.88920383,-87.6316408,"(41.889203826, -87.631640804)"
11064869,JA403259,8/23/17 16:30,0000X N HOMAN BLVD,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,GAS STATION,TRUE,FALSE,1123,11,28,27,26,1153705,1900391,2017,8/30/17 15:57,41.8825101,-87.71105255,"(41.882510101, -87.711052551)"
11065045,JA403434,8/23/17 4:00,088XX S GREENWOOD AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,412,4,8,47,6,1185090,1846653,2017,8/30/17 15:57,41.7343668,-87.597497,"(41.734366796, -87.597496998)"
11065059,JA403545,8/23/17 19:30,011XX E 47TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,FALSE,FALSE,222,2,4,39,7,1184735,1874077,2017,8/30/17 15:57,41.80962908,-87.59793846,"(41.809629081, -87.597938463)"
